Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Steps,Barometer Temperature,Barometer Pressure,Barometer Altitude,Battery Percentage,Battery Voltage,Charging
1664880620,,,,64,36,,0,28.21046371459,1014.73982641653,-12.39644643037,100,3.27744140624,false
1664880640,,,,47,38,,7,28.69759521484,1014.63286127912,-11.50690940206,100,3.27480468749,false
1664880660,,,,54,49,,13,29.10162429809,1014.68872433792,-11.97148387655,100,3.26689453124,false
1664880709,,,,42,52,,11,30.01913604736,1014.70618812652,-12.11671389481,100,3.27041015624,false
1664880729,,,,73,52,,4,30.28344421386,1014.75982486381,-12.56274788785,100,3.27216796874,false
1664880749,,,,42,47,,0,30.51137847900,1014.69782111463,-12.04713352440,100,3.26953124999,false
1664880769,,,,34,77,,8,30.70884628295,1014.63535078757,-11.52761336520,100,3.27304687499,false
1664880789,,,,41,82,,17,30.89602584838,1014.71728255917,-12.20897487743,100,3.2765625,false
1664880809,,,,43,64,,7,31.01523666381,1014.60748806127,-11.29589103512,100,3.26865234374,false
1664880829,,,,53,34,,7,31.13623962402,1014.70366074794,-12.09569617304,100,3.27392578124,false
1664880849,,,,52,78,,12,31.22963027954,1014.70200210857,-12.08190287779,100,3.27128906249,false
1664880869,,,,40,48,,8,31.35322189331,1014.69009484171,-11.98288114973,100,3.27216796874,false
1664880889,,,,78,100,,0,31.47614974975,1015.75023150993,-20.79537265564,100,3.27041015624,false
1664880909,,,,60,55,,18,31.58945312500,1015.69430177759,-20.33063732141,100,3.26865234374,false
1664880929,,,,73,52,,3,31.71669540405,1015.75091990290,-20.80109257073,100,3.27216796874,false
1664880949,,,,51,91,,31,31.83783111572,1015.83858396703,-21.52947499795,100,3.26865234374,false
1664880969,,,,47,0,,2,31.98146820068,1015.81208329533,-21.30929181081,100,3.27041015624,false
1664880989,,,,75,57,,0,32.10930786132,1015.80875336686,-21.28162447504,100,3.26689453124,false
1664881009,,,,71,58,,0,32.21092910766,1015.93507178846,-22.33111334916,99,3.26689453124,false
1664881029,,,,49,59,,15,32.29555816650,1015.72529482453,-20.58816952454,99,3.26865234374,false
1664881049,,,,52,94,,29,32.36538543701,1015.68607057234,-20.26224025262,99,3.26865234374,false
1664881069,,,,56,88,,26,32.39717941284,1015.74081858166,-20.71715952863,99,3.27216796874,false
1664881089,,,,54,94,,30,32.41968078613,1015.62147128548,-19.72543792460,99,3.27128906249,false
1664881109,,,,51,100,,21,32.39240036010,1015.66584174254,-20.09414720693,100,3.28007812499,false
1664881129,,,,50,96,,29,32.36551818847,1015.69273709858,-20.31763568067,99,3.2765625,false
1664881149,,,,51,38,,7,32.31567001342,1015.65177267825,-19.97723761696,99,3.27216796874,false
1664881169,,,,43,87,,7,32.26947250366,1015.70819080220,-20.44604693245,100,3.27392578124,false
1664881189,,,,38,59,,18,32.25274581909,1015.55279885606,-19.15475858417,100,3.27128906249,false
1664881209,,,,49,32,,0,32.22048721313,1015.67870196959,-20.20101058476,99,3.27128906249,false
1664881229,,,,56,6,,0,32.21398239135,1015.72470533904,-20.58327134024,100,3.27392578124,false
1664881249,,,,46,60,,0,32.21272125244,1015.64269633397,-19.90181529633,98,3.27304687499,false
1664881269,,,,40,82,,0,32.22413787841,1015.67455306862,-20.16653498568,99,3.26513671874,false
1664881289,,,,44,75,,0,32.22652740478,1015.62151084463,-19.72576665875,98,3.26513671874,false
1664881309,,,,40,75,,0,32.23017807006,1015.67477456971,-20.16837556825,99,3.27392578124,false
1664881329,,,,44,46,,0,32.25725936889,1015.67827740248,-20.19748261823,97,3.26865234374,false
1664881349,,,,57,8,,0,32.27491531372,1015.72390681590,-20.57663620541,98,3.27041015624,false
1664881369,,,,39,78,,0,32.27909698486,1015.53796902703,-19.03151612954,99,3.26953124999,false
1664881389,,,,42,30,,10,32.30551452636,1015.63076249384,-19.80264701593,100,3.27304687499,false
1664881409,,,,42,100,,0,32.33087005615,1015.75272535037,-20.81609417055,99,3.27041015624,false
1664881429,,,,46,90,,18,32.35775222778,1015.68251524491,-20.23269717717,99,3.27304687499,false
1664881449,,,,44,64,,21,32.37029724121,1015.64177277929,-19.89414074004,98,3.2765625,false
1664881469,,,,43,75,,0,32.37096099853,1015.72037128708,-20.54725853334,99,3.26865234374,false
1664881489,,,,44,84,,0,32.37560729980,1015.65002092116,-19.96268096347,97,3.27304687499,false
1664881509,,,,39,88,,14,32.39532089233,1015.60336517308,-19.57497614417,98,3.27128906249,false
1664881529,,,,40,37,,0,32.40096282958,1015.58977404288,-19.46203243527,99,3.27304687499,false
1664881549,,,,32,94,,0,32.41018905639,1015.61981361047,-19.71166273684,97,3.26689453124,false
1664881569,,,,64,0,,7,32.43488082885,1015.61264227453,-19.65206912154,97,3.26953124999,false
1664881589,,,,56,32,,0,32.44948348999,1015.58573006668,-19.42842633524,98,3.26865234374,false
1664881609,,,,58,10,,0,32.46196212768,1015.54611955657,-19.09925082419,97,3.27304687499,false
1664881629,,,,43,66,,0,32.44696121215,1015.59199766833,-19.48051107832,97,3.27480468749,false
1664881649,,,,54,32,,6,32.46481628417,1015.52270978053,-18.90470350415,97,3.27392578124,false
1664881669,,,,41,83,,8,32.45598831176,1015.51989130654,-18.88128028582,97,3.26865234374,false
1664881689,,,,44,59,,8,32.45505905151,1015.55849010960,-19.20205503764,97,3.2765625,false
1664881709,,,,40,100,,0,32.44510269165,1015.66380329923,-20.07720845224,98,3.26865234374,false
1664881729,,,,49,54,,0,32.46548004150,1015.46527257309,-18.42735528330,98,3.27128906249,false
1664881749,,,,49,15,,14,32.47198486328,1015.49181108710,-18.64791385611,98,3.27216796874,false
1664881769,,,,42,87,,0,32.47702941894,1015.52156776388,-18.89521266351,97,3.26601562499,false
1664881789,,,,48,44,,0,32.47948532104,1015.52388577505,-18.91447671213,97,3.26953124999,false
1664881809,,,,55,68,,6,32.50557098388,1015.59497309744,-19.50523726522,96,3.2765625,false
1664881829,,,,60,0,,0,32.49130020141,1015.42961404879,-18.13099399305,96,3.26865234374,false
1664881849,,,,74,57,,0,32.49116744995,1015.25730510410,-16.69879967886,97,3.27041015624,false
1664881869,,,,45,52,,0,32.50039367675,1015.46089849589,-18.39100237696,97,3.27392578124,false
1664881889,,,,42,51,,0,32.52024002075,1015.40015484915,-17.88614950622,97,3.2765625,false
1664881909,,,,58,35,,0,32.54227676391,1015.46639884014,-18.43671565560,97,3.26953124999,false
1664881929,,,,41,100,,0,32.56590652465,1015.47041319176,-18.47007874510,96,3.27128906249,false
1664881949,,,,38,100,,0,32.59185943603,1015.39843767036,-17.87187732667,95,3.26953124999,false
1664881969,,,,44,38,,0,32.62484817504,1015.40179692560,-17.89979746098,96,3.27832031249,false
1664881989,,,,38,69,,0,32.66573562622,1015.44703711521,-18.27579976074,96,3.27216796874,false
1664882009,,,,62,31,,0,32.69122390747,1015.43516889446,-18.17716138277,95,3.27480468749,false
1664882029,,,,65,59,,0,32.72348251342,1015.41732687298,-18.02887218748,97,3.26865234374,false
1664882049,,,,48,61,,0,32.75388259887,1016.19128363737,-24.45946879653,96,3.27304687499,false
1664882069,,,,48,47,,0,32.77963638305,1015.40307996903,-17.91046133622,97,3.27041015624,false
1664882089,,,,74,58,,0,32.80246963500,1015.38955025152,-17.79801001932,96,3.2765625,false
1664882109,,,,61,38,,0,32.82961730957,1015.39501086045,-17.84339564099,96,3.26513671874,false
1664882129,,,,44,50,,0,32.86605758666,1015.45184884849,-18.31579045685,95,3.27304687499,false
1664882149,,,,44,30,,0,32.90329437255,1015.49264275925,-18.65482571342,96,3.2765625,false
1664882169,,,,74,69,,0,32.93555297851,1015.41312945122,-17.99398613120,96,3.26777343749,false
1664882189,,,,50,40,,0,32.96356353759,1015.12063650094,-15.56270013137,95,3.28271484374,false
1664882209,,,,48,25,,0,32.99316711425,1015.42569644026,-18.09843387281,95,3.27128906249,false
1664882229,,,,46,53,,0,33.03651046752,1015.45629147069,-18.35271330537,96,3.27041015624,false
1664882249,,,,49,100,,31,33.04772796630,1015.45052832290,-18.30481547945,95,3.2765625,false
1664882269,,,,51,87,,20,33.04839172363,1015.52754450418,-18.94488285028,95,3.26689453124,false
1664882289,,,,52,100,,17,33.03584671020,1015.44300883257,-18.24232026686,94,3.26865234374,false
1664882309,,,,49,30,,0,33.00146408081,1015.27217952343,-16.82244036486,95,3.27041015624,false
1664882329,,,,55,52,,15,32.89605941772,1015.42403769204,-18.08464761495,96,3.27568359374,false
1664882349,,,,52,91,,32,32.78620758056,1015.40601749910,-17.93487625512,94,3.26865234374,false
1664882369,,,,46,87,,19,32.67887802124,1015.48168238403,-18.56373590712,95,3.26162109374,false
1664882389,,,,57,70,,12,32.61309967041,1015.43258287816,-18.15566852986,95,3.26953124999,false
1664882409,,,,65,27,,6,32.53358154296,1015.47231139309,-18.48585457087,95,3.27041015624,false
1664882429,,,,45,32,,0,32.52767410278,1014.41017354680,-9.65476348764,95,3.2765625,false
1664882449,,,,52,51,,8,32.50052642822,1014.36811899325,-9.30494898090,94,3.26865234374,false
1664882469,,,,51,30,,15,32.50948715209,1014.36315708769,-9.26367451787,94,3.27041015624,false
1664882489,,,,48,44,,0,32.50968627929,1014.29641824723,-8.70850703148,95,3.2765625,false
1664882509,,,,39,75,,0,32.53729858398,1014.30722503760,-8.79840539565,94,3.2765625,false
1664882529,,,,37,75,,0,32.55349426269,1014.48632611880,-10.28817926470,94,3.26865234374,false
1664882549,,,,43,83,,0,32.57851791381,1014.38363452087,-9.43401025185,94,3.27304687499,false
1664882569,,,,67,58,,11,32.60958175659,1014.33323970439,-9.01481022423,94,3.26513671874,false
1664882589,,,,51,34,,0,32.62829971313,1014.38320591393,-9.43044503481,95,3.27216796874,false
1664882609,,,,42,66,,0,32.63175125122,1014.34403097931,-9.10457688211,94,3.26865234374,false
1664882629,,,,51,54,,0,32.66049194335,1014.34777980437,-9.13576110691,94,3.27128906249,false
1664882649,,,,69,31,,0,32.65246047973,1014.27291649691,-8.51300052413,95,3.27304687499,false
1664882669,,,,45,15,,14,32.64237136840,1014.41893504488,-9.72764113611,94,3.27480468749,false
1664882689,,,,58,74,,0,32.63885345458,1014.33523276503,-9.03138945351,94,3.27304687499,false
1664882709,,,,53,55,,0,32.65504913330,1014.39135891913,-9.49826274998,94,3.27392578124,false
1664882729,,,,54,44,,0,32.66321334838,1014.33671655702,-9.04373232604,94,3.26865234374,false
1664882749,,,,41,69,,8,32.67456359863,1014.39475274152,-9.52649285828,94,3.27304687499,false
1664882769,,,,44,38,,14,32.69241867065,1014.37541149377,-9.36560966207,94,3.26953124999,false
1664882789,,,,39,76,,19,32.68724136352,1014.30442045188,-8.77507498440,94,3.27041015624,false
1664882809,,,,46,28,,6,32.64296875000,1014.27401313232,-8.52212330324,94,3.26953124999,false
1664882829,,,,46,44,,13,32.59265594482,1014.30568390590,-8.78558524258,93,3.27128906249,false
1664882849,,,,49,0,,3,32.61920623779,1014.46684346107,-10.12613163622,94,3.27744140624,false
1664882869,,,,74,20,,0,32.88139038085,1014.52623741183,-10.62013485209,93,3.27304687499,false
1664882889,,,,41,75,,0,33.29265441894,1014.53566714361,-10.69856354438,94,3.26513671874,false
1664882909,,,,62,7,,0,33.81031875610,1014.46173248321,-10.08362049729,94,3.26865234374,false
1664882929,,,,82,72,,0,34.33747482299,1014.46757256493,-10.13219602630,94,3.2765625,false
1664882949,,,,83,100,,0,34.87266235351,1014.46749478012,-10.13154904401,94,3.27304687499,false
1664882969,,,,75,17,,0,35.44727706909,1014.55390430556,-10.85024346529,94,3.26513671874,false
1664882989,,,,57,13,,0,35.99142532348,1014.52531507617,-10.61246359697,94,3.27041015624,false
1664883009,,,,74,70,,0,36.48977432250,1014.45664323811,-10.04128995073,93,3.27480468749,false
1664883029,,,,52,39,,0,36.98566741943,1014.37873358359,-9.39324344519,94,3.27304687499,false
1664883049,,,,79,86,,0,37.45560760498,1014.39702674192,-9.54540814758,93,3.26513671874,false
1664883069,,,,79,86,,0,37.87543411254,1014.40261220276,-9.59186824324,93,3.26865234374,false
1664883089,,,,61,19,,0,38.26778106689,1014.27749302555,-8.55107206674,94,3.27480468749,false
1664883109,,,,45,79,,0,38.31377944946,1014.11199337765,-7.17421371956,94,3.26689453124,false
1664883129,,,,45,63,,0,38.20824203491,1014.20766694225,-7.97018289175,93,3.27041015624,false
1664883149,,,,44,55,,0,37.98223266601,1014.09443677086,-7.02814255022,93,3.26953124999,false
1664883169,,,,41,72,,0,37.71905288696,1014.05568145681,-6.70569064472,94,3.26777343749,false
1664883189,,,,40,72,,0,37.42547302246,1014.24895245931,-8.31364456148,93,3.27216796874,false
1664883209,,,,31,100,,0,37.29736785888,1014.22406701617,-8.10661942271,93,3.26777343749,false
1664883229,,,,28,0,,0,37.30015563964,1014.27903438363,-8.56389439153,93,3.26953124999,false
1664883249,,,,67,38,,0,37.40629043579,1014.30521064067,-8.78164830619,93,3.26513671874,false
1664883269,,,,58,48,,0,37.60515213012,1014.31994806393,-8.90424334315,93,3.26777343749,false
1664883289,,,,48,32,,0,37.79770812988,1014.33672277366,-9.04378403885,92,3.27041015624,false
1664883308,,,,81,56,,0,37.96139068603,1014.29391493220,-8.68768261328,93,3.27216796874,false
1664883328,,,,48,28,,0,38.10436401367,1014.33562153005,-9.03462338330,93,3.27216796874,false
1664883348,,,,35,53,,0,38.32844848632,1014.28971397007,-8.65273582273,93,3.27128906249,false
1664883368,,,,45,10,,0,38.58266754150,1014.29197738974,-8.67156467951,94,3.26865234374,false
1664883388,,,,75,90,,0,38.85991897583,1014.29368012216,-8.68572928829,94,3.27304687499,false
1664883408,,,,77,27,,0,39.11712493896,1014.24825362377,-8.30783091660,93,3.26513671874,false
1664883428,,,,68,38,,0,39.40877990722,1014.23166317674,-8.16981327626,93,3.2765625,false
1664883448,,,,62,35,,0,39.68702697753,1014.32265786474,-8.92678499183,92,3.27041015624,false
1664883468,,,,46,17,,0,39.96003036499,1014.27832827770,-8.55802040499,92,3.26601562499,false
1664883488,,,,45,56,,0,40.12517318725,1014.27155270445,-8.50165528630,93,3.27304687499,false
1664883508,,,,65,45,,0,40.22818832397,1014.24831368173,-8.30833054163,91,3.27216796874,false
1664883528,,,,77,57,,0,40.27876663208,1014.03205979003,-6.50914879406,93,3.26953124999,false
1664883548,,,,59,54,,0,40.16353836059,1014.05439156233,-6.69495829509,93,3.27480468749,false
1664883568,,,,40,66,,8,39.89936294555,1013.70540524776,-3.79087031942,93,3.26689453124,false
1664883588,,,,56,19,,7,39.56144409179,1014.05342233982,-6.68689403520,91,3.27128906249,false
1664883608,,,,59,62,,6,39.19518280029,1013.94632354494,-5.79575730508,92,3.27304687499,false
1664883628,,,,36,76,,22,38.83263854980,1014.13219806164,-7.34231438746,92,3.27216796874,false
1664883648,,,,34,58,,12,38.46179733276,1014.03544524395,-6.53731737168,91,3.2765625,false
1664883668,,,,55,31,,16,38.10131072998,1014.06167737224,-6.75557850368,92,3.26953124999,false
1664883688,,,,40,51,,20,37.70989303588,1014.24094764905,-8.24705198445,91,3.26425781249,false
1664883708,,,,45,70,,0,37.34223785400,1014.18625314263,-7.79203316821,92,3.2765625,false
1664883728,,,,60,48,,0,37.03359069824,1014.13273466666,-7.34677884309,92,3.2765625,false
1664883748,,,,58,39,,0,36.75952529907,1014.22497322804,-8.11415838562,92,3.26865234374,false
