BangleId,Time,Latitude,Longitude,Altitude,Heartrate,Confidence,Source,Battery Percentage,Battery Voltage,Charging,Steps,Barometer Temperature,Barometer Pressure,Barometer Altitude,Inspected
e5:3b,2022-10-01 06:57:56,,,,71.0,0.0,,99,3.2765625,False,0,28.87461929321,1011.63966004939,13.41581580255,false
e5:3b,2022-10-01 06:58:06,,,,55.0,14.0,,100,3.27304687499,False,0,29.02197341918,1011.63410864937,13.46209466848,false
e5:3b,2022-10-01 06:58:16,,,,47.0,24.0,,98,3.27041015624,False,0,29.12266540527,1011.80697108657,12.02113528421,false
e5:3b,2022-10-01 06:58:26,,,,43.0,60.0,,97,3.27216796874,False,0,29.24101333618,1011.87862815075,11.42386951309,false
e5:3b,2022-10-01 06:58:36,,,,35.0,89.0,,97,3.2765625,False,0,29.33918304443,1011.70611918833,12.86179971019,false
e5:3b,2022-10-01 06:58:46,,,,49.0,17.0,,99,3.27304687499,False,0,29.44996414184,1011.71644262668,12.77574419803,false
e5:3b,2022-10-01 06:58:56,,,,65.0,24.0,,99,3.27216796874,False,0,29.55317840576,1011.50995462336,14.49714992709,false
e5:3b,2022-10-01 06:59:06,,,,64.0,57.0,,97,3.26513671874,False,0,29.65831756591,1011.4687487337,14.84070057086,false
e5:3b,2022-10-01 06:59:16,,,,57.0,57.0,,98,3.2765625,False,0,29.74327850341,1011.09462811938,17.96041840878,false
e5:3b,2022-10-01 06:59:26,,,,59.0,46.0,,98,3.27041015624,False,0,29.84589538574,1011.32694374508,16.02307436317,false
e5:3b,2022-10-01 06:59:36,,,,58.0,54.0,,98,3.27832031249,False,0,29.93311309814,1011.36372025629,15.71641793586,false
e5:3b,2022-10-01 06:59:46,,,,51.0,58.0,,97,3.26601562499,False,0,30.03340682983,1011.47613142104,14.77914720201,false
e5:3b,2022-10-01 06:59:56,,,,66.0,81.0,,98,3.27480468749,False,0,30.12142105102,1011.67908398385,13.08716678964,false
e5:3b,2022-10-01 07:00:06,,,,68.0,90.0,,97,3.27304687499,False,0,30.2223121643,1011.72767855714,12.68208301886,false
e5:3b,2022-10-01 07:00:16,,,,73.0,100.0,,97,3.27832031249,False,0,30.30594558715,1011.79930418646,12.08504136794,false
e5:3b,2022-10-01 07:00:26,,,,73.0,88.0,,98,3.27568359374,False,0,30.38692398071,1011.84421665261,11.71068706443,false
e5:3b,2022-10-01 07:00:36,,,,71.0,92.0,,98,3.27216796874,False,0,30.47692947387,1011.74351933032,12.55003793145,false
e5:3b,2022-10-01 07:00:46,,,,71.0,100.0,,97,3.27568359374,False,0,30.55093841552,1011.69223702711,12.97752162627,false
e5:3b,2022-10-01 07:00:56,,,,74.0,100.0,,96,3.26865234374,False,0,30.62116394042,1011.48752179189,14.68418036974,false
e5:3b,2022-10-01 07:01:06,,,,72.0,100.0,,99,3.28095703124,False,0,30.69995193481,1011.42452693211,15.2094087341,false
e5:3b,2022-10-01 07:01:16,,,,72.0,100.0,,98,3.2765625,False,0,30.7713722229,1011.42536805325,15.20239559568,false
e5:3b,2022-10-01 07:01:26,,,,68.0,46.0,,97,3.26777343749,False,0,30.82838897705,1011.27862503623,16.42598771467,false
e5:3b,2022-10-01 07:01:36,,,,77.0,33.0,,97,3.26953124999,False,0,30.89788436889,1011.30481175731,16.20762358024,false
e5:3b,2022-10-01 07:01:46,,,,69.0,11.0,,96,3.27568359374,False,0,31.01025848388,1011.33364424623,15.96720238362,false
e5:3b,2022-10-01 07:01:56,,,,45.0,18.0,,99,3.26865234374,False,0,31.05957565307,1011.32058710255,16.0760793624,false
e5:3b,2022-10-01 07:02:06,,,,48.0,34.0,,98,3.2765625,False,0,31.103250885,1011.20182756968,17.06640786034,false
e5:3b,2022-10-01 07:02:16,,,,56.0,28.0,,97,3.27304687499,False,0,31.1619934082,1010.92294235245,19.39238496629,false
e5:3b,2022-10-01 07:02:26,,,,53.0,26.0,,97,3.27216796874,False,0,31.22339096069,1010.94009628353,19.24930161019,false
e5:3b,2022-10-01 07:02:36,,,,49.0,40.0,,97,3.27128906249,False,0,31.32255630493,1011.02456150734,18.54479394714,false
e5:3b,2022-10-01 07:02:46,,,,44.0,80.0,,98,3.27041015624,False,0,31.36623153686,1011.13196912054,17.64899719742,false
e5:3b,2022-10-01 07:02:56,,,,45.0,45.0,,97,3.26953124999,False,0,31.40174255371,1011.25102105923,16.65617492792,false
e5:3b,2022-10-01 07:03:06,,,,52.0,54.0,,97,3.27128906249,False,0,31.42464218139,1011.0625446111,18.22799995334,false
e5:3b,2022-10-01 07:03:16,,,,55.0,18.0,,96,3.27304687499,False,0,31.45298461914,1010.88405652998,19.71674437002,false
e5:3b,2022-10-01 07:03:26,,,,65.0,19.0,,99,3.27744140624,False,0,31.49002227783,1010.93895752852,19.25880006524,false
